rel_path,file_name,split,cls,ratio,pile_id,illum,illum_method,source,roi_ok,area_frac,mean_R,mean_G,mean_B,mean_H,mean_S,mean_V,hue_std,sat_std,val_std,bright,contrast
extra_new_pure_jpg/IMG_4928.jpg,IMG_4928.jpg,train,0,100_0,pure_new_01,ambient,ambient,image,1,0.0272,107.81908050340616,71.19405602306726,13.086782424773801,18.426684021343842,227.1278852904046,107.81910159415968,0.8310620159845518,25.765550523335243,16.426867583721258,75.48691318744558,16.1774460537846
extra_new_pure_jpg/IMG_4929.jpg,IMG_4929.jpg,train,0,100_0,pure_new_01,ambient,ambient,image,1,0.0259,107.38546502422496,69.76823205294657,11.336004939991767,18.168320719465466,230.43056778238702,107.38546502422496,1.1361300997360206,21.084207249411357,17.252961079952346,74.321675797207,15.670060463328602
extra_new_pure_jpg/IMG_4930.jpg,IMG_4930.jpg,train,0,100_0,pure_new_01,ambient,ambient,image,1,0.0309,93.6167966518302,57.34168072809407,7.244724639606723,17.3341925197635,236.57243871653492,93.6167966518302,0.97673906758329,12.909674145096227,15.080918578478576,62.45514382515113,12.336375846132757
extra_new_pure_jpg/IMG_4933.jpg,IMG_4933.jpg,train,0,100_0,pure_new_01,ambient,ambient,image,1,0.0346,99.85458380235796,66.60512826589253,15.758582854434504,18.02541856745068,220.53579951418922,99.85458380235796,1.3570208851274237,37.6645839300333,22.254743293931938,70.74288998163398,21.668361797094096
extra_new_pure_jpg/IMG_4934.jpg,IMG_4934.jpg,train,0,100_0,pure_new_01,ambient,ambient,image,1,0.0304,110.74916492552403,74.6743411740918,15.743047785940554,18.585506504010244,223.02543640897755,110.74916492552403,1.0394591152694104,33.80797958682675,18.204505407445286,78.71186358428254,18.789567590125447
pure/IMG (1).jpg,IMG (1).jpg,train,0,100_0,pure_A,ambient,ambient,image,1,0.0719,117.26259124441248,67.71554087715478,11.027569122309409,15.831158363705386,233.89922216382783,117.26259124441248,1.8558276031708287,27.023106234781224,17.318406738164583,76.0662420469301,18.03448328151121
pure/IMG (183).jpg,IMG (183).jpg,train,0,100_0,pure_B,ambient,ambient,image,1,0.0178,126.66356594858948,81.6535223850355,25.976205826279966,16.513368392937732,209.70741040920268,126.66356594858948,1.4905161930568707,42.123960191449534,24.430886537959324,88.7802250937123,27.046697931010307
pure/IMG (185).jpg,IMG (185).jpg,train,0,100_0,pure_B,ambient,ambient,image,1,0.0185,131.5069409585408,91.50357820294697,39.166258723396695,17.12258732281121,186.76930697027714,131.50703868723707,0.9492248629363851,50.69546533463255,22.216504709486177,97.56693749361432,27.754782294238936
pure/IMG (186).jpg,IMG (186).jpg,train,0,100_0,pure_B,ambient,ambient,image,1,0.056,105.33820134975709,66.19651789050994,16.14258622837421,16.7500897639757,221.85300251339132,105.33820134975709,1.9044421665051452,38.68267865204374,19.726085837555864,72.17050172566664,21.355634077971875
pure/IMG (187).jpg,IMG (187).jpg,train,0,100_0,pure_B,ambient,ambient,image,1,0.0275,125.99022900399072,85.43109002081854,24.61149255244901,17.935194077750403,210.1860128013171,125.99036620356839,1.0729035579934394,45.77626946135421,16.547912453076147,90.66341662739578,20.855121828074868
